A1:	Yang ni berapa ni?
B2:	Yang tu *pro_1st_S* jual *pro_3rd_DO* tujuh ringgit setengah -*pro_1st_S* bagi *pro_3rd_IO* tujuh ringgitlah.
B3:	Kak tengok-tengok *pro_3rd_DO* dulu---*pro_2nd_S* nak yang mana---lepas tu kita kuranglah.
A4:	*pro_2nd_S* Tak ada yang besar sikit.
B5:	Yang nilah saiz dua puluh enam---yang depan kak tu saiz dua puluh enam.
B6:	Yang ni tak nak kak---*pro_3rd_S* baru sampai ni.
A7:	Berapa rial tu?
B8:	Ginilah kak---*pro_1st_S* bagi *pro_3rd_IO* lima belas ringgit, kak tengoklah *pro_3rd_DO* ... *pro_1st_S* boleh kurang lagi harga.
A9:	*pro_3rd_S* Sepuluh ringgit *pro_2nd_S* bagi *pro_1st_DO* tak?
B10:	Sepuluh ringgit *pro_1st_S* tak boleh kak, ginilah kita bagi *pro_2nd_IO* harga kena selalulah, dua belas ringgit, kita pun nak jugak sikit.
A11:	Tahulah... saya pun nak jugak sikit.
B12:	Betul kak *pro_1st_S* tak boleh kurang *pro_3rd_DO* dah, orang lain jual *pro_3rd_DO* antara lima belas ringgit dan empat belas ringgit tu.
B13:	Di atas lain jugak, kain kurang molek *pro_1st_S* boleh bagi *pro_2nd_IO* murah sikit lagi---tapi ni kain molek ni.
B14:	Kak nak *pro_3rd_IO* dua helai ke?
B15:	Ginilah kak saya bagi *pro_2nd_IO* *pro_3rd_DO* setakat sebelas ringgit, *pro_1st_S* potong *pro_3rd_DO* seringgit lagi.
B16:	Lebih daripada itu *pro_1st_S* tak boleh dah kak.
B17:	*pro_1st_S* Boleh sikit sangat tu, kalau *pro_1st_S* dapat untung banyak saya tak kisah... *pro_1st_S* boleh potong *pro_3rd_DO* lagi.
B18:	---*pro_2nd_S* Nak yang merah atau yang kuning?
A19:	*pro_2nd_S* Bolehlah kurang *pro_3rd_DO* lagi---*pro_3rd_S* dua puluh satu ringgitlah.
B20:	*pro_1st_S* Tak boleh dah kak.
B21:	Harga *pro_3rd_P* mari mahal dah (modal mahal).
A22:	Biarlah *pro_1st_S* ambil sehelai dulu.
B23:	Seluarnya *pro_2nd_S* tak nak ke?
B24:	Yang ni comel ni---*pro_3rd_S* ada beg di pinggang.
B25:	Saiz dia dah tu.
A26:	Berapa ni?
B27:	Yang ni enam belas ringgit.
A28:	*pro_2nd_S* Cuba ambil saiz dua, seluar *pro_3rd_P* macam ini jugak.
B29:	Saiz dua *pro_2nd_S* tak ada?
A30:	Yang ni kecik sangat.
B31:	Yang tu padan *pro_3rd_DO* dah... sebab saiz *pro_3rd_P* tak sama---*pro_1st_S* tengok jenis adik ni---saiz dua kan besar pulak.
A32:	Berapa ni tadi?
B33:	*pro_3rd_S* Enam belas ringgit kak.
A34:	*pro_2nd_S* Takkan tak boleh kurang *pro_3rd_DO* lagi dah.
B35:	*pro_1st_S* Bagi *pro_3rd_IO* lima belas ringgitlah kak---*pro_1st_S* potong *pro_3rd_DO* seringgit harga *pro_3rd_P* rendah dah tu.
A36:	*pro_3rd_S* Tiga belas ringgit *pro_2nd_S* bolehlah ya?
B37:	Ginilah kak *pro_1st_S* bagi *pro_3rd_IO* setakat empat belas ringgit, *pro_1st_S* mintak *pro_2nd_IO* *pro_3rd_DO* seringgit sahaja lagi---kain dia molek ni
A38:	*pro_2nd_S* Bagilah *pro_3rd_IO* tiga belas ringgit---ni *pro_1st_S* ambik banyak ni...
B39:	Em... *pro_1st_S* bolehlah, kak nak berapa helai yang ni?
A40:	Yang ni entah-entah sepuluh ringgit pun *pro_2nd_S* boleh bagi.
B41:	Eh... eh... *pro_2nd_S* jangan.
B42:	Kalau macam tu teruklah kita---ni pun sikit benar *pro_1st_S* dapat---*pro_1st_S* bukannya banyak dapat untung---pasal *pro_2nd_S* ambik banyak tu *pro_2nd_S* dapat harga tu, kalau *pro_2nd_S* tidak---*pro_1st_S* tak boleh.
