A1:	Yang ni berapa ni?
B2:	Yang ni tiga ratus ringgit sepasang.
B3:	Tapi boleh kurang lagi kalau nak.
A4:	Berapa boleh kurang?
B5:	Kalau kak nak, saya boleh bagi dua ratus tujuh puluh ringgit.
A6:	Dua ratus lima puluh ringgitlah.
B7:	Tak boleh kak.
B8:	Paling kurang saya boleh bagi dua ratus enam puluh ringgit.
B9:	Biasa saya jual dua ratus tujuh puluh ringgit, dua ratus lapan puluh ringgit.
B10:	Kalau nak banding dengan dulu mahal lagi ni.
B11:	Saya sendiri jual tiga ratus ringgit lebih.
B12:	Tapi masa tu upah buat mahal padan dengan harganya.
B13:	Sekarang pun mahal upahnya ni---tapi boleh kira sikitlah dari dulu.
A14:	Yang tiga ratus ringgit lebih tu fesyen mana?
B15:	Sama dengan yang ni---tapi modal dulu dengan sekarang tak sama.
B16:	Nak yang mana tu.
B17:	Ni yang hijau muda ni lawa jugak.
B18:	Tak berkenan ke?
A19:	Tak ada bunga besar-besar.
B20:	Sekarang kak, ramai orang suka bunga kecik-kecik sebab tu banyak kain bunga jenis ni....
B21:	Yang ni pun lawa... saya sendiri pun berkenan yang ni tapi lain orang lain rasa.
B22:	Hati orang berbeza-beza.
B23:	Sebab tu saya jual banyak jenis fesyen ni.
B24:	Sebenarnya saya malas main harga ni, kira saya cakap harga betul selalu, senang....
B25:	Sekarang ni ramai orang beli buat berniaga.
B26:	Kak kalau nak berniaga boleh ambik tempat saya---bolehlah saya bagi murah sikit.
B27:	Sebab beli banyak bolehlah murah.
A28:	Boleh untung ke?
B29:	Boleh untung kak, ramai orang ambik tempat saya untuk berniaga.
B30:	Orang KL., Singapore.
B31:	Barang ini barang laku sekarang.
B32:	Kalau setakat untuk tambang bas tu boleh sangatlah.
A33:	Tak apalah, saya ambik yang nilah dulu.
A34:	Buat-buat sampel.

