A1:	Berapa ni?
B2:	Yang ni empat puluh lima, yang ni murah sikit tiga puluh lima, kulit lainlah.
B3:	Kulit lembut, yang ni kulit keras sikit.
B4:	Yang ni tiga puluh lapan, kalau kak nak boleh bagi kuranglah.
A5:	Dua puluh lima boleh?
B6:	Tak boleh, ginilah kalau kak nak, kita bagi tiga puluhlah.
A7:	Dua puluh limalah.
B8:	Mana boleh kak, kalau kak beli yang kulit keras ni, boleh bagilah dua puluh lima.
B9:	Saya tak cakap tipu kak.
B10:	Nak cari mana kak macam ni, beg ni baru sampai tadi kak ni.
A11:	Baru sampailah, kita nak minta kurang tu.
A12:	Kalau bagi dua puluh lima, kak naklah.
B13:	Kesianlah kita, mana dapat kak.
B14:	Kita pun nak untung jugak sikit-sikit.
B15:	Sikit lagilah kak.
A16:	Setakat tu saja.
B17:	Sebab dia kulit Bonia, jadi ginilah kak, kita cakap betul, kita boleh bagi setakat tiga puluh lima.
B18:	Dua puluh lima tak dapat sebab dia kulit-kulit Bonia mahal kak.
B19:	Dia bukan kulit-kulit sebarangan saja, serupa kat mana-mana pun sebab dia macam kulit betul.
B20:	Naik sikitlah lagi kak.
B21:	Bagi tiga puluh limalah.
B22:	Barang ni baru sampai.
B23:	Kita pun tak bagi barang baru-baru kat orang lain harga gini.
B24:	Eloklah, kulit dia lembut.
A25:	Tak naklah
B26:	Habis kak nak tawar berapa?
A27:	Setakat tulah.
B28:	Setakat berapa?
A29:	Dua puluh lima.
B30:	Nak buat gori, bagi tiga puluh cukuplah.
B31:	Kita nak buat gori tu, barang baru sampai.
B32:	Bagi tahu betul tu.
A33:	Dua puluh limalah.
B34:	Kalau boleh bagi, kita bagi dah tu.
B35:	Itu pun harga murah benar tu, pasal barang baru sampai, nak bagi jadilah sebutir sebab barang kita tidak tinggi, sekejap lagi habislah barang ni kak.
B36:	Kira ginilah, minta dua ringgit lagilah bagi dua puluh tujuh.
A37:	Satu ringgit sudahlah, itupun mahal dah tu.
B38:	Kak nak yang mana?
B39:	Mahal apa lagi kak, yang ni tiga puluh lima, itu yang kecil tu.
