A1:	Berapa ni?
B2:	Letak tiga puluh ringgit, orang ambil dua puluh pasang pun kita jual dua puluh lapan jugak.
A3:	Kita ambil dua ni, bagi murahlah sikit.
B4:	Murah dah tu kak.
A5:	Dua puluhlah.
B6:	Dua puluh macam mana, beli tak dapat modal kita.
B7:	Modal kita dua puluh lebih dah tu, kita tak cakap tipu.
A8:	Jadi bagi berapa?
A9:	Ikhlas tu.
B10:	Dua puluh lapan, dua puluh lapan---jadi lima puluh enam---ikhlaslah kita.
A11:	Jacquard tu berapa?
B12:	Seratus lapan puluh ringgit boleh kurang lagi.
A13:	Ni bagi seratus ringgitlah.
B14:	Seratus tak dapat, seratus lima puluh bolehlah kita bagi.
A15:	Seratus lima puluh bolehlah, kita ambil juga ni.
B16:	Ambiklah dik---kak bagi lima puluh lima saja kat Singapore tidak boleh harga tu.

